Node 1,weight 1,Node 2,weight 2,Node 3,weight 3,Node 4,weight 4,Node 5,weight 5,Node 6,weight 6,Node 7,weight 7,Node 8,weight 8,Node 9,weight 9,Node 10,weight 10,Node 11,weight 11,Node 12,weight 12,Node 13,weight 13,Node 14,weight 14,Node 15,weight 15,Node 16,weight 16,Node 17,weight 17,Node 18,weight 18,Node 19,weight 19,Node 20,weight 20,Node 21,weight 21,Node 22,weight 22,Node 23,weight 23,Node 24,weight 24,Node 25,weight 25,Node 26,weight 26,Node 27,weight 27,Node 28,weight 28,Node 29,weight 29,Node 30,weight 30,Node 31,weight 31,Node 32,weight 32,Node 33,weight 33,Node 34,weight 34,Node 35,weight 35,Node 36,weight 36,Node 37,weight 37,Node 38,weight 38,Node 39,weight 39,Node 40,weight 40,Node 41,weight 41,Node 42,weight 42,Node 43,weight 43,Node 44,weight 44,Node 45,weight 45,Node 46,weight 46,Node 47,weight 47,Node 48,weight 48,Node 49,weight 49,Node 50,weight 50
PA4140,0.3183568,pslB,0.38815705,wbpA,0.4764653,PA3091,0.36012109,PA1847,0.59546275,PA0794,0.40750548,zwf,0.36857264,PA3458,0.40492197,PA4889,-0.38344738,PA0639,0.32826756,fleS,0.3351878,PA4840,0.41533497,pra,0.32670518,PA1613,0.34300675,ccoN2,0.37825121,PA2770,0.41555529,PA1864,0.38966618,PA1539,0.3010881,PA5185,0.34125139,PA4632,0.35536657,PA1650,0.38700539,PA2004,0.38799805,PA4478,0.44760258,PA3191,0.30775244,pyrB,0.37342288,PA4219,0.42892063,fliI,0.40126875,cobC,0.57316816,atpH,0.35593707,PA1394,0.47087859,sucC,0.45831339,PA0660,0.36039918,pscB,0.38310015,cupB3,0.33739864,PA2363,0.44652348,pqsC,0.35599432,PA5481,0.37385921,algK,0.36688652,PA4070,0.36209402,PA0461,0.38852987,PA5037,0.42202194,roxS,0.36947454,alg44,0.36211161,PA3256,0.35394358,pgsA,0.3959371,PA4219,0.3346327,popB,0.30616714,hemB,0.38194921,PA2375,0.33177676,lasI,0.42881615
PA2588,0.31821312,PA0571,0.38796156,PA4659,0.47386754,pvdO,0.36008783,PA5461,0.59445261,prpB,0.40706794,pchG,0.36835129,PA2567,0.40292805,thiL,-0.38377517,PA4928,0.32731077,purH,0.33501615,PA1969,0.41436942,PA4505,0.32636936,PA4924,0.34226633,algD,0.37269002,PA3647,0.41505799,PA1509,0.38854707,catB,0.30032278,wbpD,0.34095461,rmlB,0.3547606,PA2501,0.38671205,exsC,0.3875045,PA3856,0.44526744,ispA,0.30666311,PA4680,0.37253006,pchC,0.42857024,fimU,0.40122231,cdhB,0.57306583,PA3822,0.35259318,PA2761,0.46794782,PA4965,0.45476037,pyrR,0.3601445,PA2673,0.38258849,speA,0.33565575,wbpG,0.44630446,oprE,0.35581846,alg8,0.3728211,PA2107,0.36606038,greB,0.36149107,PA5314,0.388206,infA,0.42131869,braE,0.36812983,PA5298,0.36137598,PA0855,0.35369346,PA1958,0.39392798,narK2,0.33428399,PA4345,0.30463441,PA1826,0.38126379,ppa,0.33152677,norB,0.42812249
PA1656,0.31805958,eddB,0.38769034,cpdA,0.47283848,PA3353,0.3593324,rplC,0.58960058,PA5061,0.40687629,PA1471,0.36830615,PA3248,0.40282915,flgJ,-0.38417081,PA3668,0.32661069,PA0637,0.33497284,glk,0.41179329,PA1941,0.32561529,PA0734,0.34163433,PA3278,0.37086114,era,0.41497234,PA2308,0.38490567,PA3600,0.30007571,PA5115,0.33982196,PA2911,0.35400706,mdcC,0.38655664,PA3890,0.38680849,PA2566,0.43835372,PA2757,0.30633599,glpD,0.37162685,PA4359,0.42848018,PA3756,0.4006987,PA5207,0.5692305,PA0399,0.35252818,PA0724,0.46709159,PA1053,0.45280583,PA2352,0.35992557,PA1700,0.38247116,rplA,0.33479996,gbcA,0.44414997,sspB,0.35376344,PA2069,0.37182773,PA0572,0.36433288,kdpF,0.36127241,PA5329,0.38671551,PA1465,0.42039087,gcvH2,0.36770409,PA3611,0.36102265,PA4181,0.35352155,PA0716,0.39346916,PA4035,0.33263917,arcB,0.30439923,narG,0.38061834,pgsA,0.33138588,PA3486,0.42599898
PA1926,0.31801702,phnE,0.38626644,PA4351,0.47274001,pchC,0.35581936,PA5148,0.58895644,PA3628,0.40675118,PA3906,0.36735217,PA1301,0.40253674,hitA,-0.38540094,PA0629,0.32638427,PA3966,0.3343309,kefB,0.41084946,PA4504,0.32535923,PA0087,0.34125612,wbpW,0.36755146,PA0513,0.41479265,PA4908,0.38342815,PA4625,0.29994503,PA4916,0.33925118,PA3632,0.35397312,PA3907,0.38644521,pscF,0.38603452,PA5275,0.43719319,PA2453,0.30584545,PA2864,0.3709618,PA0456,0.42675334,typA,0.39959925,PA2775,0.5673479,PA5310,0.35147217,PA4709,0.46425268,PA3856,0.45255524,alaS,0.35978536,pcrH,0.38242238,PA3709,0.33476802,PA2734,0.44301639,gbt,0.35278359,aprA,0.37134079,PA5457,0.36396179,PA3369,0.35928869,liuD,0.38635438,glpD,0.41818285,PA1106,0.36716593,PA0642,0.36101097,hisM,0.35103159,PA0013,0.39204896,nosF,0.33179346,PA3762,0.3037206,PA1042,0.38024941,PA2404,0.33122237,PA2831,0.42547214
proS,0.31766771,PA4115,0.38478495,pscE,0.47121671,modC,0.35351169,PA0334,0.58834177,flgE,0.40606417,dadX,0.36726418,norC,0.40048235,PA0623,-0.38632973,PA0541,0.32482245,PA3827,0.33418713,PA5530,0.40925857,PA3496,0.32490354,proS,0.34073808,rmd,0.36710597,tig,0.41243741,PA2598,0.38313747,PA0779,0.29940527,arcD,0.33591733,PA1597,0.35357001,PA3788,0.38624516,liuD,0.38139821,wspB,0.43681052,PA5445,0.30579438,PA0311,0.37063439,pqsD,0.4263415,pyrE,0.39854686,wbpA,0.56662171,PA3055,0.35019371,nosZ,0.4616142,PA1966,0.45173937,PA0076,0.35875691,wbpK,0.38167231,nusA,0.33387876,PA4651,0.44285418,PA0512,0.35129177,PA4132,0.36998376,osmE,0.36332592,himD,0.35645608,antC,0.38478849,modA,0.4180388,PA4836,0.36427574,corA,0.3607614,PA2848,0.35069539,PA1309,0.39174323,cysD,0.3284129,PA1728,0.30269468,PA2788,0.37933388,PA5314,0.33117317,rmlA,0.42497278
hcnA,0.31578501,PA4105,0.38477617,wbpG,0.47005347,PA1864,0.35296681,trxA,0.58831765,PA4294,0.40167244,PA1192,0.36573634,roxS,0.3987788,PA0643,-0.38878246,PA1356,0.32433015,PA0616,0.33304814,cobI,0.40779332,PA3577,0.32422621,pyrC,0.34064056,PA5152,0.36543082,fabD,0.41008137,nuoA,0.38294977,hemN,0.29856899,PA3498,0.33591331,PA1560,0.3531571,PA5108,0.38480972,arnA,0.37932441,cbpD,0.43471569,PA3728,-0.31295118,PA1465,0.36916832,PA5306,0.42514878,PA3982,0.39828776,PA0661,0.56380164,wbpE,0.34661897,pilV,0.46033767,PA5245,0.45064555,PA5168,0.3586242,PA3496,0.3809702,PA0190,0.33333038,PA0632,0.44282699,PA5137,0.35121961,ambE,0.36907163,PA1605,0.36203957,ppiB,0.35607378,PA4146,0.3829426,prs,0.41578547,PA0458,0.36242746,PA1784,0.36060932,PA2313,0.35013486,PA2226,0.39086247,PA4534,0.32721391,fur,0.3010445,PA2553,0.37893731,pnp,0.3308715,ppiB,0.42494011
plsX,0.31497413,PA3181,0.38275939,PA1075,0.46592549,PA2911,0.3496656,rplM,0.58731603,PA1737,0.401013,pdxB,0.36497465,PA4623,0.39860733,PA3880,-0.39039971,PA2771,0.32425691,rpsI,0.33284475,PA4333,0.40595169,PA1897,0.32399534,PA1394,0.3402116,PA4345,0.36491674,PA5046,0.4090949,PA1058,0.38198327,rplK,0.29621555,PA1076,0.33566093,PA0915,0.35315273,wbpG,0.38286678,PA0628,0.37794836,wspF,0.43176467,rfaD,-0.3134267,chpA,0.36881891,PA5271,0.42356551,PA3085,0.39120072,PA1645,0.56237322,PA0113,0.34610491,PA3510,0.4587744,mvaT,0.44990774,PA1615,0.35719917,pslC,0.3809359,PA0239,0.33245139,ambE,0.44161043,pscB,0.34952313,PA1665,0.3680133,PA5222,0.36182929,ppgL,0.35454359,chiC,0.38235734,rpsU,0.415579,PA4358,0.36125411,PA1924,0.35959834,PA2984,0.34887194,wbpI,0.39015086,PA3871,0.32718662,glgP,0.300921,ldh,0.3789075,rpsB,0.32954141,PA2228,0.42396724
PA1661,0.31473342,PA2182,0.37819985,PA2804,0.46240068,fliC,0.34949887,rplW,0.58682668,napA,0.40054042,PA1857,0.36443194,PA0145,0.39804185,PA4596,-0.39171447,PA4048,0.32387565,rpmA,0.33248395,PA0309,0.40405606,PA2813,0.32311457,PA1857,0.33941977,PA5153,0.36309934,PA3818,0.40867524,PA2310,0.37913457,PA5539,0.29540035,wzz,0.33524675,potC,0.35094416,cupC2,0.38201946,PA3795,0.37707072,PA3957,0.43067948,PA1404,-0.31348993,PA5221,0.36776942,secE,0.42210152,rbfA,0.38999023,rnd,0.56185966,PA3123,0.34518133,PA4469,0.45852121,exaC,0.44900639,PA3450,0.35449419,hitA,0.38038364,gltP,0.33234281,PA2226,0.44144926,rhlI,0.3487672,PA1656,0.36580114,PA3889,0.36127842,rbsB,0.35389534,PA5205,0.38038958,PA1742,0.41519834,nalC,0.35572022,imm2,0.35821133,mucA,0.34851006,dxr,0.38874209,nirC,0.32710776,katE,0.29903074,PA0588,0.37862484,PA4701,0.32943743,rpsF,0.42315946
tgt,0.31431534,PA3239,0.37683518,PA3381,0.4623652,PA0860,0.34530912,rplN,0.58632266,flgB,0.39841524,PA4354,0.36348239,wzx,0.39597593,chpC,-0.39179,moeB,0.32298197,PA3830,0.33112459,PA3992,0.4029849,PA3515,0.31991872,PA4457,0.3386478,opdO,0.36271224,nirM,0.40371557,PA1355,0.37748515,PA3601,0.2949202,narL,0.33428922,potD,0.34917001,PA2485,0.38161744,fumC1,0.37684784,PA0007,0.42822053,PA0086,-0.31488059,murG,0.36757294,PA1129,0.42109318,flgG,0.38925068,PA3680,0.56141223,liuB,0.34431637,PA0630,0.4575648,PA3836,0.44732197,qor,0.35372514,PA4369,0.38037295,PA4805,0.33221319,PA1216,0.44049181,mobA,0.34777938,pqsL,0.36494452,PA2180,0.36077697,PA4782,0.35314569,PA3374,0.37806387,clpX,0.4150282,bkdB,0.35432842,PA3612,0.35799826,flgM,0.34835472,PA4754,0.38662854,PA0481,0.32685561,rmf,0.29785989,PA0526,0.37780472,tktA,0.3284914,PA0127,0.42285738
PA4685,0.31382059,clpV1,0.37675736,PA3271,0.45853718,PA2561,0.3452519,mucA,0.57878922,tadA,0.39725301,PA4139,0.36057779,PA3839,0.39577301,pilP,-0.39659525,PA3271,0.32170312,PA0614,0.3309781,PA5108,0.40154372,PA0275,0.31840642,PA0733,0.33655595,hemN,0.36119945,putP,0.4028062,PA0839,0.37250971,pcrV,0.29407861,PA0816,0.32965912,purM,0.34574338,wbpJ,0.38056865,PA3443,0.37634173,PA3399,0.42401016,PA4023,-0.31659829,ssb,0.36630365,PA3326,0.42037117,gcvH1,0.38865678,cysD,0.55932177,PA3144,0.34175715,PA0722,0.45659116,trpC,0.44539809,PA0084,0.35314788,PA4108,0.38004903,PA0219,0.33137486,PA0645,0.43416282,betI,0.3470937,nuh,0.36459764,PA0345,0.36067091,PA5347,0.35165504,PA0678,0.37788801,PA3052,0.41476378,PA0745,0.35325044,PA3600,0.35762344,chpE,0.34833098,PA4624,0.38510795,PA4220,0.32672435,PA4675,-0.32082373,PA0657,0.37610124,PA2575,0.3278292,creC,0.42182993
PA3335,0.31238968,eddA,0.3760961,PA5062,0.45727895,PA1930,0.34465456,PA1280,0.57878069,prpC,0.39696303,PA4223,0.3589001,PA3880,0.39447356,atsA,-0.39719259,PA5446,0.32146339,PA5471,0.32990141,uraA,0.39923914,PA0084,0.31825672,PA0642,0.33630872,phhA,0.3609482,rpsB,0.40275875,PA3234,0.37107733,PA0826,0.29363049,PA0202,0.32680526,adhC,0.34285714,PA5106,0.38033403,PA5471,0.37593756,PA5059,0.42133393,PA0076,-0.31754389,dut,0.36519213,PA3278,0.41891108,rpoZ,0.38842818,PA0215,0.55917719,gdhB,0.33946064,PA0839,0.45507005,bfrB,0.44506033,gatC,0.35280227,pilA,0.37898374,PA0277,0.330652,PA0630,0.4337424,purU1,0.34612249,atpA,0.36423288,PA3213,0.36066216,PA2860,0.34963522,PA0979,0.3774925,PA1011,0.41474172,prpC,0.352723,PA2736,0.35648446,PA0220,0.34819355,ccmA,0.38486027,PA4193,0.32653878,wzy,-0.32121729,PA2365,0.37558232,sdhA,0.32779216,PA3334,0.42164731
PA2047,0.31229307,PA0258,0.37579016,PA2761,0.45627959,PA4156,0.3432135,leuA,0.57847463,PA1095,0.39625288,wbpA,0.35728006,PA4707,0.39359847,PA3785,-0.39970569,PA5196,0.32074464,rplU,0.32977996,PA0352,0.39892331,PA5152,0.31726832,lysA,0.33625603,PA0567,0.35990476,secE,0.40177116,pcoA,0.37070691,PA4680,0.2935785,PA4917,0.32643576,nqrD,0.34249113,PA2723,0.37978692,arnF,0.37567136,xcpX,0.42119843,dht,-0.31791902,PA2949,0.36277428,PA0938,0.41856742,rpsS,0.38737272,PA2835,0.55796281,wbpI,0.33918687,PA3143,0.45379454,PA0615,0.44478642,PA1204,0.35259957,PA0205,0.37779171,rbfA,0.32958109,wbpB,0.43318928,narG,0.34531384,PA2411,0.36417778,lipH,0.36006275,glnK,0.3491892,qor,0.37711908,cysE,0.41236925,PA2029,0.35271708,PA0981,0.35524166,PA1209,0.34816819,PA1676,0.38472134,PA0512,0.32540577,fabH2,-0.32205407,modA,0.37529949,pvdN,0.32778286,sucC,0.42130694
PA3267,0.31129306,PA2779,0.37481359,PA5515,0.45595109,PA0713,0.34205575,rpmD,0.57681854,PA1761,0.39238846,wzz,0.35535232,PA0521,0.39302727,PA4298,-0.40234237,PA1332,0.31791648,PA2988,0.32962766,PA4438,0.39752593,PA1016,0.31411242,PA0615,0.33613599,PA0746,0.35795501,ccmF,0.40006245,PA4637,0.37026026,PA0481,0.29281979,wbpK,0.32578188,rmlD,0.34161633,PA1667,0.37938603,PA3441,0.37518534,phzG2,0.42016264,bioD,-0.31840824,PA1548,0.36240662,PA2037,0.41372337,PA2957,0.38735267,PA1287,0.55794204,PA5376,0.33900659,PA2401,0.45345149,PA3352,0.44463166,braE,0.35196646,oprL,0.3771021,fepC,0.32897429,rbsK,0.43054208,nirC,0.34524499,PA3508,0.36373545,algF,0.35894956,PA0805,0.3490222,wzt,0.37472341,pslC,0.41203947,PA4065,0.35012487,ccoN1,0.35500242,PA5458,0.34553144,PA2987,0.38463185,PA0929,0.32383929,arnD,-0.32226004,PA3127,0.3735506,fusA1,0.3276447,PA2822,0.42084747
hcnB,0.31085372,arnE,0.37430924,pstS,0.45208795,pvdG,0.34201528,fliA,0.57620339,PA2571,0.39198477,PA0226,0.35444188,wbpG,0.39090975,PA4132,-0.40235544,PA2959,0.31498783,rplI,0.32942257,PA4574,0.39714338,thrH,0.31376841,PA0619,0.33566626,pncB1,0.35552842,fabG,0.39851108,PA2461,0.36986634,napD,0.29233844,PA3572,0.32472958,PA2792,0.33948005,PA3905,0.37794021,PA1667,0.37261759,PA0123,0.41905975,PA1046,-0.31860053,PA4339,0.36040428,PA2169,0.41175484,PA2044,0.38717053,PA2210,0.55632858,chpB,0.33810468,PA0285,0.45227166,aceA,0.44425143,nuoN,0.35180867,pcrR,0.37654271,prfC,0.32884773,PA2190,0.4289382,PA4620,0.34294587,phzA1,0.363025,PA1324,0.35863195,PA3412,0.34879699,PA2803,0.37471647,oprI,0.41165514,phoP,0.34939527,hisH2,0.35402382,acoR,0.34481876,PA0760,0.38398673,PA3899,0.32368493,PA3330,-0.32393032,PA3972,0.37166432,greB,0.32750688,iscU,0.41924206
algW,0.30888947,PA0692,0.36955249,PA4658,0.45164153,PA2799,0.34084173,crc,0.56966436,rpoS,0.39132184,gltR,0.3540442,PA5207,0.3881873,PA1196,-0.40321427,PA5059,0.314761,dctA,0.32894336,PA1137,0.39653902,PA4070,0.31176991,spuA,0.334939,PA3859,0.35354898,thrC,0.39753021,PA1892,0.36911179,PA1115,0.29130622,PA1744,0.32375725,nqrB,0.33890843,narK2,0.37767392,cyoB,0.37050164,PA4650,0.41669594,PA4103,-0.32039389,PA1828,0.35958555,PA0104,0.41093038,secY,0.38673893,PA4650,0.55570868,irlR,0.33762694,pilW,0.45205387,PA1164,0.4438717,PA3728,0.35176638,PA0125,0.37643737,PA3991,0.32821998,PA3289,0.42476687,gloA1,0.34235553,PA1241,0.36201931,PA3073,0.35663085,PA3001,0.3487949,PA4844,0.37461409,hasAp,0.41032717,PA4577,0.34568101,PA0011,0.35243083,PA3922,0.34408763,PA1478,0.38327098,PA3896,0.32361996,PA0170,-0.32460631,PA2368,0.37022986,PA1355,0.3264305,rplL,0.41821252
purB,0.30761928,PA0260,0.3667003,wbpE,0.45152667,PA2824,0.33991306,rmf,0.56900897,tadZ,0.39100866,phnA,0.35194736,narG,0.38805109,oprG,-0.40410187,PA1887,0.3144804,PA2112,0.32822104,pchB,0.39564185,PA2668,0.31149229,PA0422,0.3333615,PA4917,0.35354582,PA1530,0.39665694,coIII,0.36046072,PA3458,0.29125179,PA0200,0.32371627,flgE,0.33837284,pgsA,0.37735085,PA3371,0.37015585,PA1167,0.41613847,PA0083,-0.32042319,lepA,0.35775238,PA2571,0.40969221,fabZ,0.38578438,motA,0.55569386,phzD2,0.33562266,nosR,0.45101239,PA4185,0.4435201,PA5026,0.35094802,PA2229,0.36810707,speD,0.32716367,PA2369,0.42387464,PA3329,0.34229217,PA5535,0.36081841,liuD,0.3510404,PA3178,0.34762295,PA4399,0.37425697,PA2559,0.4102381,glyA2,0.34482158,rhlI,0.3524086,PA2872,0.3436068,PA1059,0.38250071,PA3295,0.32297888,fliD,-0.32497728,PA2483,0.36830895,ccoO1,0.32512096,PA2046,0.41687144
tyrZ,0.30633802,PA0696,0.36638572,PA2187,0.45016055,PA4948,0.33885225,dapD,0.56778915,gmd,0.3902363,PA4916,0.3516355,PA3747,0.38555356,rnr,-0.40478341,PA1397,0.31433276,PA3188,0.32810666,cobB,0.3952308,PA5347,0.31147414,PA0394,0.33311087,algL,0.34974733,pchE,0.39651572,PA2600,0.35905313,PA3273,0.28986202,PA1746,0.32318425,PA2252,0.33767593,tadD,0.37572029,PA3908,0.37009843,xcpZ,0.41188818,PA4132,-0.32121307,PA3784,0.35727647,PA2694,0.40829527,fliN,0.38574876,irlR,0.55385476,PA2811,0.33553464,PA0053,0.4509804,PA1426,0.44260951,PA2409,0.34954039,PA0791,0.36759932,PA0442,0.3266054,PA2811,0.42324566,braD,0.34191068,PA3498,0.36036525,PA3071,0.3481036,PA0613,0.34702533,PA1527,0.37406884,PA0102,0.40899313,PA3678,0.3439623,PA1897,0.35227025,PA3429,0.34324391,PA0948,0.38144913,PA1106,0.32273493,PA2402,-0.3260503,gabT,0.36745833,iscU,0.32488527,PA2037,0.41682126
PA0359,0.30624954,glpK,0.36420916,exsA,0.450028,PA5275,0.33580176,PA3808,0.56311505,PA1473,0.38941455,PA2159,0.34911885,PA3157,0.38526017,PA4129,-0.40598628,mexG,0.31427329,PA4455,0.32563575,edd,0.39224676,PA0083,0.31081773,pys2,0.33294772,hmgA,0.34958578,valS,0.39635691,oprB,0.35760018,dctA,0.28924309,PA4949,0.32317322,PA3766,0.33531462,PA1355,0.37552671,PA3662,0.36925841,xcpY,0.40992765,phzA1,-0.32148967,PA5134,0.35721448,PA1852,0.40778387,sdhD,0.38500179,PA1963,0.55225425,murF,0.33538534,PA0515,0.44909382,PA2542,0.43988985,pslC,0.34797919,opdE,0.36741727,pauA,-0.33759618,PA0631,0.42080729,PA4080,0.34048802,fpvA,0.35991323,PA3676,0.34778863,PA2667,0.34680006,bglX,0.3713697,carA,0.408312,nirL,0.34385795,PA1514,0.35211478,hutH,0.3409016,pslA,0.37995831,PA0327,0.32169055,PA1738,-0.32774988,PA2937,0.36693095,purL,0.32449534,nqrE,0.41481927
fusA1,0.30590534,PA3293,0.36400748,wbpB,0.44997527,PA2841,0.3338335,pilG,0.5609559,nuoB,0.38906527,PA2068,0.34841032,PA4488,0.3848848,PA0622,-0.40686522,PA0038,-0.32110227,nusA,0.32295911,PA5508,0.39016544,pntAA,0.31046782,PA0628,0.33079749,algE,0.34878654,PA1058,0.39572846,xylS,0.35621849,oprH,0.28900077,PA0621,0.32300613,pntAA,0.33382092,napE,0.37513813,PA2111,0.36912922,coxB,0.40918511,PA2062,-0.32430699,PA4029,0.35711415,PA4384,0.40620577,PA0070,0.3844237,PA1496,0.55214481,PA2760,0.33495048,PA2771,0.44784706,PA4523,0.43948926,PA0563,0.34738877,PA1702,0.36679593,uvrB,-0.33762514,PA0643,0.41835434,PA3332,0.34030922,PA4134,0.3589703,PA3958,0.34686988,PA1645,0.34635465,cupC1,0.37124198,fbp,0.40803993,narL,0.34177238,PA0990,0.3516849,mltD,-0.35126918,wzz,0.37854259,fpvI,0.32086878,PA0912,-0.32842962,PA1930,0.36552212,PA4364,0.32369945,PA1199,0.4136382
nuoM,0.30511017,vgrG1,0.36216616,PA5437,0.44656651,PA1473,0.33281132,rplO,0.56048127,PA1881,0.38555148,efp,0.34680593,PA2119,0.38273103,PA0615,-0.40697261,PA0567,-0.32115763,waaF,0.32210503,PA0556,0.38915392,PA3697,0.30900245,PA5503,0.3300281,algR,0.34821955,PA2554,0.39556387,PA1061,0.35280877,PA3577,0.28877108,wbpI,0.32278539,speA,0.33291233,wzx,0.37258322,PA0921,0.36907024,cttP,0.40708769,PA3485,-0.32520356,PA1047,0.35641296,cmpX,0.40613155,gapA,0.38392722,dsbC,0.55133885,PA1808,0.3344936,PA0644,0.44660672,PA0619,0.43885465,PA2366,0.34726747,PA2459,0.36589706,PA1344,-0.34060083,PA2366,0.41805459,pqsD,0.33865083,pvdF,0.35883518,PA1612,0.34681352,PA4639,0.34629781,xcpT,0.37047886,PA1884,0.40686987,PA3047,0.3407294,folE2,0.34989385,PA5462,-0.35208997,PA1652,0.37827285,PA1021,0.32077313,PA1329,-0.32960874,narH,0.36547314,PA2408,0.32321442,PA4291,0.41241917
rplD,0.30488735,PA2781,0.36166596,PA4156,0.4456116,pilU,0.33256257,PA0900,0.559922,antA,0.38512705,PA4219,0.34506129,nirL,0.38226266,PA1789,-0.40909438,PA3291,-0.32184027,waaG,0.32205364,PA1676,0.38781549,PA5537,0.30894223,dhcR,0.32680486,PA4352,0.34798488,PA4106,0.39372265,PA1887,0.35034584,PA0596,0.2882222,PA5494,0.32270164,flhA,0.33250561,fdnI,0.37206706,PA4033,0.36719852,PA0112,0.40616981,PA2190,-0.32605592,PA1772,0.35525688,PA3292,0.40349777,PA4045,0.38390624,PA3837,0.55054654,pagL,0.33336328,PA0431,0.44628994,aotP,0.43884451,pvdL,0.34631329,PA2937,0.36588637,mexI,-0.34081945,pntB,0.41789485,PA3764,0.33765228,PA0536,0.35860032,PA4677,0.3448855,PA0737,0.34567608,amgS,0.3699673,mexR,0.40563814,PA3003,0.34047129,PA2751,0.34838664,PA2798,-0.3526264,cmpX,0.37688239,PA0151,0.3202745,phzB1,-0.33105452,cbpA,0.36513444,tig,0.32314137,PA2857,0.41222849
PA4465,0.30465428,PA0677,0.35924602,PA3219,0.4448868,rsaL,0.32914771,PA3572,0.55555313,PA3688,0.38257207,catB,0.34082742,PA0589,0.38158315,PA0648,-0.42147915,PA5086,-0.32232262,gidA,0.32153948,PA0385,0.38779649,PA0862,0.30878317,PA0624,0.32663577,PA0295,0.34797351,uppS,0.3933159,PA3939,0.34959075,PA0161,0.2875332,PA3883,0.3223525,flgD,0.33093178,PA0200,0.3716025,lptF,0.36699712,PA0227,0.40502943,PA3904,-0.3293112,PA2915,0.35460697,PA4394,0.40326417,PA5019,0.38203885,mreD,0.54786728,PA3298,0.333027,pilY2,0.4447059,murC,0.43872874,oxyR,0.34603934,PA0505,0.36270338,PA0572,-0.34098095,cioA,0.41663075,wbpA,0.33728358,pheC,0.35770482,PA4144,0.34401237,moeA1,0.34469964,PA1673,0.36772193,PA4998,0.40543209,PA0793,0.33599208,PA5264,0.34789179,kdsA,-0.35291428,braB,0.37609166,oprC,0.31895765,PA1385,-0.33227352,PA0779,0.36306177,tolQ,0.32179061,ambE,0.41210207
vfr,0.30375705,PA0086,0.35797252,PA3369,0.44413997,PA3177,0.32657754,sodB,0.55550408,tadC,0.38203355,PA4623,0.33499188,motC,0.38028243,PA1370,-0.42373617,PA2028,-0.32273441,PA1964,0.32146294,PA4923,0.38475278,PA4331,0.30709815,PA4023,0.32644867,PA0200,0.34699734,nirL,0.39253275,PA4624,0.34895333,rpoD,0.28743537,PA1109,0.32125186,PA0080,0.33085199,PA1662,0.37141753,PA3446,0.36692893,fusA2,0.40180369,hpd,-0.32987601,PA5033,0.35444639,PA0122,0.40227363,rpoA,0.38198378,PA5195,0.54718212,bkdA2,0.33280166,PA1362,0.44468081,PA1821,0.43807802,PA1683,0.34507156,PA1607,0.36194979,nrdJb,-0.3413509,PA0633,0.41395038,PA0622,0.33261802,PA5540,0.35628396,PA4164,0.34320081,phaF,0.34454307,PA3647,0.36727422,rpsF,0.40534962,PA5231,0.33259885,pilX,0.34765959,PA4421,-0.35424362,PA0850,0.37558163,PA1378,0.318634,PA2548,-0.33333192,PA3416,0.36174446,pvdL,0.32105257,PA3710,0.4118352
PA0981,0.30302712,PA5529,0.35596305,PA2733,0.44326356,exsE,0.3259324,sdhC,0.55507252,PA2365,0.38110692,fptA,0.33420424,hisF2,0.37778729,PA2104,-0.42419595,PA4912,-0.32292403,lysP,0.32094746,fdnI,0.38202751,PA4624,0.30692627,PA3511,0.32522221,narX,0.34331729,murC,0.3916999,PA1297,0.34681277,groEL,0.28740988,PA0632,0.32075966,PA1093,0.32985201,PA3292,0.3712424,phhA,0.3665946,PA2067,0.40073532,PA0179,-0.33007005,PA5515,0.35357733,pqsC,0.40210182,sucC,0.38137151,hisQ,0.54424194,PA3896,0.33268419,PA2068,0.44250801,estA,0.43780983,aspA,0.34488405,dnaK,0.35968435,PA2777,-0.34223075,PA5168,0.41176752,pcrV,0.33216817,ibpA,0.356053,PA0847,0.34319372,PA1404,0.34328347,PA4801,0.36675996,rplC,0.4047591,PA3456,0.332577,PA0490,0.34687583,PA0986,-0.35513588,PA4290,0.37340709,modB,0.31744082,PA0630,-0.33428336,narI,0.36138315,metH,0.32049742,PA4180,0.41163617
PA3432,0.30264511,dadA,0.35503699,PA2190,0.44307788,PA4049,0.32583169,PA2737,0.55424315,PA1762,0.38101826,wbpH,0.3338962,PA5003,0.37668882,PA5232,-0.42585198,PA3836,-0.32362021,aroP1,0.32071439,PA5527,0.37982412,PA4907,0.30612141,PA0622,0.32506774,PA4880,0.3432999,truB,0.39115099,PA3447,0.34577924,PA2777,0.28683234,PA2566,0.32028084,flgH,0.32716222,PA2461,0.37068356,pldA,0.3662318,PA1348,0.39710011,PA5231,-0.33256949,aroK,0.35321199,PA1414,0.39966962,kdsA,0.38028772,PA2751,0.54322301,hisH2,0.33169204,senC,0.43474966,ibpA,0.43751497,PA4163,0.3439446,pilY1,0.3595757,PA3056,-0.34404325,PA0558,0.41126341,PA3906,0.33172139,PA3940,0.35397838,PA4735,0.3418301,PA2695,0.34270042,fadD2,0.36653623,PA4458,0.40398788,PA1789,0.33221562,PA2228,0.34613327,PA2602,-0.35587619,PA1682,0.37301998,mucK,0.31699702,PA2274,-0.33473223,PA4387,0.35887916,PA1752,0.32008499,rpsA,0.41098005
