Node 1,weight 1,Node 2,weight 2,Node 3,weight 3,Node 4,weight 4,Node 5,weight 5,Node 6,weight 6,Node 7,weight 7,Node 8,weight 8,Node 9,weight 9,Node 10,weight 10,Node 11,weight 11,Node 12,weight 12,Node 13,weight 13,Node 14,weight 14,Node 15,weight 15,Node 16,weight 16,Node 17,weight 17,Node 18,weight 18,Node 19,weight 19,Node 20,weight 20,Node 21,weight 21,Node 22,weight 22,Node 23,weight 23,Node 24,weight 24,Node 25,weight 25,Node 26,weight 26,Node 27,weight 27,Node 28,weight 28,Node 29,weight 29,Node 30,weight 30,Node 31,weight 31,Node 32,weight 32,Node 33,weight 33,Node 34,weight 34,Node 35,weight 35,Node 36,weight 36,Node 37,weight 37,Node 38,weight 38,Node 39,weight 39,Node 40,weight 40,Node 41,weight 41,Node 42,weight 42,Node 43,weight 43,Node 44,weight 44,Node 45,weight 45,Node 46,weight 46,Node 47,weight 47,Node 48,weight 48,Node 49,weight 49,Node 50,weight 50
PA3326,0.49314818,oprO,0.52759275,phnC,0.63297772,pvdD,0.52980212,rpmJ,0.93809814,aer2,0.61412056,pchD,0.55220042,PA4218,0.58801743,PA4638,0.48637455,PA0122,0.46385168,PA2955,0.41991403,alg8,0.76621912,PA0820,0.51385334,PA2724,0.49131631,rfaD,0.58360681,nosF,0.58704565,cysW,0.57380766,PA0160,0.45004246,PA4328,0.49932722,PA2652,0.50949815,PA4298,0.52116867,PA0613,0.57419069,PA1215,0.71547853,PA0115,0.44349032,grx,0.499044,PA5482,0.58450512,iscR,0.55352724,napE,0.75386109,murG,0.46885568,PA2460,0.8826387,PA1847,0.64019267,PA3798,0.48273351,imm2,0.52951248,opdO,0.45024167,pslE,0.6260959,PA3662,0.51787088,hcnA,0.57058491,PA3075,0.55439801,fdnG,0.50238381,PA2557,0.50923687,htpX,0.61735315,PA0141,0.60368632,wzz,0.53044347,PA2340,0.47525184,PA1560,0.6589232,PA1743,0.46245877,lptF,0.44703322,PA0513,0.56687192,cysN,0.42606406,rplP,0.56630003
xcpQ,0.48222086,poxB,0.51934122,PA2881,0.62485548,PA2033,0.51811626,azu,0.93095954,pprB,0.60009872,PA1970,0.54660072,PA0716,0.5769355,PA0909,0.4855872,PA2068,0.45635801,rplC,0.41505547,algE,0.71855612,PA1096,0.5084574,PA0629,0.48812966,PA3572,0.57889075,cdsA,0.57599234,tauD,0.56809456,grpE,0.44733516,PA5207,0.49020433,PA0169,0.50587192,hisF2,0.51429726,PA0614,0.56614876,tadA,0.71360976,pbpC,0.43353083,PA2412,0.4947022,PA4739,0.57921698,PA4451,0.55108548,PA1620,0.73880686,PA3187,0.46514592,pilC,0.87806377,PA1048,0.63401234,cysW,0.4819314,PA2190,0.52939932,opdC,0.44847837,PA3330,0.62396773,pilM,0.49689213,pqsD,0.55791444,PA1797,0.53976446,lexA,0.50127496,PA5220,0.50480297,clpP,0.59102798,oprH,0.57734823,PA2223,0.52262342,PA2338,0.46512827,PA4455,0.64585307,ureD,0.45477567,PA4171,0.44287049,fhp,0.56557996,purC,0.42179998,rpmC,0.55859712
phzB1,0.47598324,PA2019,0.51887346,PA0715,0.62117312,PA2401,0.50793626,rplB,0.84957333,fahA,0.59870966,PA3188,0.54214352,pchF,0.57009519,lldP,0.4841976,PA2067,0.45195077,sdhC,0.41396922,PA3181,0.70258095,opdP,0.49197262,PA0639,0.48682615,PA5232,0.56693839,PA4103,0.56921402,PA3443,0.56700147,PA5536,0.44632472,PA3229,0.48879592,fliC,0.49918072,plcB,0.51153602,hmgA,0.56554323,PA1214,0.70310668,PA1009,0.42070586,bifA,0.4885139,pyoS5,0.57347447,tsf,0.5436933,aspP,0.71490289,murD,0.46433848,PA2736,0.87749069,rmf,0.62966133,PA3794,0.48012087,PA0729,0.52691948,PA0151,0.42890873,pslD,0.61186823,PA2652,0.495497,aprI,0.55282888,PA3229,0.51208522,PA2485,0.4969663,pheC,0.50337287,pcrG,0.58898709,mmsB,0.57502754,PA0442,0.52202177,PA1190,0.46338998,PA3559,0.64549237,nosY,0.45130818,PA1324,0.42745604,phzS,0.55929735,PA1372,0.41723162,ilvH,0.55609326
PA2068,0.46432814,bfmR,0.51274405,PA0698,0.61837807,PA0621,0.50433176,PA0505,0.83229505,coxA,0.59666351,PA3904,0.54125042,PA4467,0.56871199,PA1018,0.48059746,phzC2,0.44231568,typA,0.41316073,PA3187,0.68860335,PA5535,0.47746924,PA0082,0.48640009,PA2753,0.56439364,nosR,0.56588678,PA1060,0.5668976,exoT,0.41798424,pilA,0.48870081,arnT,0.49572271,PA3278,0.50983292,PA0632,0.54724028,snr1,0.67766675,PA2811,0.41998521,rhl,0.48633383,rhlR,0.56603038,tpiA,0.54324332,pdxY,0.71103765,PA1297,0.45936241,wbpJ,0.84307409,PA0856,0.62275589,PA2393,0.47878458,ibpA,0.51552881,PA0356,0.42600971,PA3332,0.60780302,PA1372,0.49132314,PA3331,0.5468442,PA2143,0.50955352,phoP,0.49611651,PA3670,0.50320179,amn,0.58573574,PA2119,0.57042145,waaL,0.51619068,PA0168,0.46067574,PA1559,0.64332796,PA2984,0.43734817,PA2172,0.40889937,lasA,0.55610017,PA2405,0.41671028,phzA1,0.55547952
PA2066,0.46180456,glpF,0.51183446,PA0688,0.61243296,pchR,0.49730115,infC,0.82776001,PA3568,0.58843755,antB,0.54029762,PA4896,0.55667877,PA0951,0.4758754,phzF2,0.43894956,mraY,0.41178357,algA,0.6860657,PA2759,0.47402352,PA0634,0.48021643,PA1429,0.54685737,PA0515,0.55698392,cysI,0.56425087,popB,0.41490815,oprG,0.48026886,PA1913,0.49209134,PA0918,0.50414726,ampDh3,0.54665961,rcpC,0.6696575,PA1602,0.40484588,PA0020,0.48518971,lasA,0.56474859,fusA1,0.53842952,PA3355,0.71080425,wbpJ,0.44817657,PA1244,0.83667317,mscL,0.61437627,PA1797,0.47853395,PA2735,0.51216299,PA2652,0.42135159,mexE,0.6035764,pilN,0.49061112,rhlI,0.53618784,liuB,0.48125963,PA4377,0.49017178,PA5254,0.50127588,ppsA,0.57952532,adhA,0.55669686,algA,0.51339385,PA1266,0.46005453,wbpG,0.63880808,PA0433,0.43664221,norB,0.40814395,nirJ,0.55209522,pvdA,0.41477123,PA3647,0.55277712
rhlR,0.45684386,PA1559,0.49648812,PA0493,0.60463504,hemO,0.4966988,PA3031,0.82525255,PA0179,0.5839555,PA3187,0.53832166,mraY,0.54011548,ampDh3,0.46434695,PA2069,0.43173066,purB,0.41125743,alg44,0.68538301,oprN,0.47363967,pyoS5,0.47884081,PA1673,0.54663866,fklB,0.55568953,PA3937,0.5529249,PA2753,0.41453948,PA5475,0.47822247,pilA,0.49161133,PA1661,0.49979712,PA0644,0.54264981,PA4294,0.66810451,PA1751,0.40324532,PA1746,0.48516455,pchE,0.56154468,hemC,0.53793574,PA0405,0.70975943,atpD,0.44462701,PA1939,0.79674711,hflC,0.6118966,PA0315,0.47488686,pilQ,0.50654774,trkA,0.41294949,PA3334,0.59281918,pctB,0.48547989,pqsB,0.53316744,PA2134,0.47506482,PA2883,0.48766172,antB,0.49228486,PA0060,0.57247996,oprG,0.55113491,wzx,0.49915007,pvcD,0.45630613,wzx,0.61944298,PA1230,0.43227559,capB,0.40562632,nosL,0.54985056,icmP,0.41002237,PA1935,0.55240239
PA4359,0.45553747,arnB,0.4912946,PA1870,0.59929518,PA0616,0.49348785,rplV,0.82465625,phhC,0.58330882,hcnA,0.53573024,moeA1,0.53310973,PA1020,0.46129996,mexI,0.42683751,infB,0.41029501,algX,0.68017495,PA4623,0.47154391,PA0630,0.47796727,PA3839,0.53899354,hpd,0.54915925,PA3445,0.5411283,PA1673,0.41219824,PA2460,0.47733168,PA1095,0.46971522,ppyR,0.49427571,phoP,0.52912015,PA4651,0.66707877,PA0167,0.39825452,adk,0.48150354,rhlA,0.56059183,rplF,0.53695835,PA3222,0.70938344,PA3781,0.43716062,PA2732,0.79127074,clpA,0.60898153,fumC1,0.47353457,htpG,0.50367859,PA4645,0.41262359,PA2331,0.59120639,hisH2,0.47723647,hcnC,0.53261966,PA2168,0.47494929,PA3785,0.48500143,dhcB,0.49221561,PA5212,0.56343994,PA3880,0.5510919,PA0385,0.48960893,PA2055,0.45557794,cdsA,0.59530412,narH,0.43013926,PA2165,0.40014315,PA3785,0.51982082,PA4469,0.40966254,thrS,0.53968756
PA3519,0.44873968,PA0083,0.49093419,PA2882,0.59646001,PA0627,0.49301719,ptsN,0.82019595,bkdA2,0.57555131,lecA,0.53314313,pchE,0.53244491,PA1024,0.45455373,phzE2,0.41104481,gcp,0.4100714,gltP,0.66613449,PA1743,0.46469187,ptrB,0.4749789,mmsB,0.50888281,nirN,0.53654185,PA3450,0.53032361,PA0781,0.4023167,PA1332,0.4732221,PA4774,0.46549777,PA4577,0.48865643,phoQ,0.52603893,opmD,0.66339096,PA3844,0.39131511,argE,0.47066197,PA4139,0.55791979,secE,0.53639498,PA5126,0.70910638,hupB,0.43555062,PA2730,0.77945524,PA1755,0.6087805,PA2358,0.47058962,PA2182,0.5019884,PA4436,0.41096261,PA2360,0.58902649,wbpJ,0.47701536,PA2401,0.52293058,PA3691,0.47365345,osmE,0.4829366,mliC,0.49207886,rpsP,0.56340124,znuC,0.5504967,algE,0.47586883,PA2807,0.44836327,hisF2,0.59021314,PA4773,0.42716142,PA2190,0.39993295,ppyR,0.51961384,holA,0.40888762,PA4077,0.52566759
PA1123,0.43446375,PA2804,0.48855213,plcN,0.5961519,pvdJ,0.4912415,PA5303,0.81907284,lpdV,0.57256174,lasB,0.51249999,PA3913,0.52721207,PA1699,0.44774369,rhlR,0.4070885,rpsP,0.40859441,putA,0.66394156,metE,0.43815896,pdxY,0.46771356,PA4577,0.50871862,tyrZ,0.52728936,PA3519,0.53014779,pcrH,0.40129014,ccpR,0.47068493,speE,0.46542014,adhA,0.48319681,PA0629,0.52578831,PA1212,0.66146491,tpm,0.38684707,PA0401,0.46963271,phzD2,0.5549923,rpsL,0.53380347,PA2609,0.70689849,PA4429,0.43553426,PA0621,0.77474804,PA5348,0.59780104,pcaR,0.46871863,wbpB,0.49500553,PA2114,0.41065341,PA2367,0.58291374,pqsB,0.47074224,rhlB,0.52286108,PA0062,0.47110952,PA5526,0.48257131,PA5232,0.49105676,betI,0.56119877,PA3600,0.54706908,PA3962,0.46896817,kdpC,0.44704992,wbpH,0.57425928,PA5533,0.42572151,bfrB,0.397801,nosD,0.51836389,PA2161,0.4087089,rpsM,0.5219979
PA2069,0.42529078,PA3602,0.48561484,PA1160,0.59012925,modA,0.49073014,PA3326,0.81476321,PA4843,0.57218437,antA,0.51062623,murC,0.52252479,PA1021,0.44569008,PA2566,0.40700812,PA0839,0.40733136,algD,0.65950036,flgL,0.4342238,PA0638,0.46705794,PA5231,0.50139161,PA4685,0.52043442,PA3119,0.52364286,popD,0.40065371,bfrB,0.46844567,gbuA,0.46512425,norB,0.47516998,PA0627,0.51812076,PA4298,0.65773552,PA0647,0.38321783,chpB,0.46407728,PA0642,0.55468325,cycB,0.52312022,lgt,0.70228029,atpE,0.43230488,PA3142,0.76830366,algU,0.59609939,PA2536,0.46347189,PA1471,0.48741015,PA4033,0.40721877,PA2771,0.58217401,wbpD,0.46940836,PA3336,0.52283546,oprN,0.46743513,PA1571,0.46629614,PA0436,0.48948312,rpsK,0.5584996,mmsA,0.5361502,PA3795,0.46696276,rmf,0.43591183,PA5251,0.57298748,PA4775,0.42459678,PA5482,0.39570247,fliD,0.51414322,secB,0.40343146,PA3291,0.52008565
PA3329,0.42111011,PA2018,0.48168796,PA0691,0.58707788,PA3601,0.48004922,rpsG,0.81319023,bkdB,0.56961732,PA3144,0.50564392,PA4332,0.5173361,PA3747,0.44232991,phzB1,0.4035742,PA3951,0.40648651,pgl,0.64237356,PA1518,0.4201032,PA0636,0.46556486,PA2114,0.49199744,PA1012,0.51786021,PA0284,0.52321754,pyrQ,0.39992397,PA0141,0.46840534,oprH,0.46493202,PA3365,0.47444462,PA0911,0.51785084,PA1220,0.65702311,PA1127,0.38182671,mliC,0.46319238,PA3530,0.55231699,iscA,0.5162413,PA2884,0.70192276,oprD,0.43115568,hisF2,0.76323932,ppsA,0.5941731,sucB,0.45481247,pslA,0.48426741,PA4179,0.40293161,PA2371,0.57696829,PA2460,0.46623091,PA3327,0.51647888,PA1323,0.46526812,PA4739,0.46374846,liuB,0.4860092,PA4639,0.53590895,nirS,0.52448737,PA4064,0.46570372,PA4886,0.43341498,PA4775,0.57201267,PA4782,0.42060117,PA5250,0.39507795,lecB,0.51200836,serA,0.40085208,pheA,0.51454429
